"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"168721","AT 2024aeob","20:55:16.934","-05:38:14.13","","","","","ZTF","ZTF","","ZTF","ZTF24abylshi","P48 - ZTF-Cam","","1","1","","19.1277","r-ZTF","2024-12-21 02:03:54.996","Fritz","","","",""
"168717","AT 2024aenx","01:21:38.571","-46:00:44.34","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rpw","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","19.178","cyan-ATLAS","2024-12-21 19:32:12.192","ATLAS_Bot1","","","",""
"168715","AT 2024aenv","04:23:06.840","-34:03:19.01","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rpt","ATLAS-CHL - ATLAS-04","","1","1","","19.267","orange-ATLAS","2024-12-22 03:45:59.616","ATLAS_Bot1","","","",""
"168714","AT 2024aenu","00:47:57.208","-42:13:11.23","","","","","BlackGEM","BlackGEM","","BlackGEM","BGEM J004757.20-421311.2","BG4 - BlackGEM-Cam4","","1","1","","20","BG-q-BlackGem","2024-12-22 01:37:00.000","BlackGEM_Bot1","","","",""
"168713","AT 2024aent","00:35:58.354","-11:00:42.52","","","","","BlackGEM","BlackGEM","","BlackGEM","BGEM J003558.35-110042.5","BG3 - BlackGEM-Cam3","","1","1","","19.75","BG-q-BlackGem","2024-12-21 01:08:23.000","BlackGEM_Bot1","","","",""
"168708","AT 2024aeno","10:46:26.373","-18:07:11.22","","","WISEA J104626.36-180711.1","","ALeRCE","ZTF","","ALeRCE","ZTF24abyksuf","P48 - ZTF-Cam","","1","1","","19.1557","g-ZTF","2024-12-20 11:04:44.003","ALeRCE","","","",""
"168707","AT 2024aenn","15:53:01.640","+41:57:11.24","","","SDSS J155301.73+415707.9","","ALeRCE","ZTF","","ALeRCE","ZTF24abylbjv","P48 - ZTF-Cam","","1","1","","19.6977","g-ZTF","2024-12-20 12:49:01.998","ALeRCE","","","",""
"168706","AT 2024aenm","16:02:42.190","-00:54:38.36","","","SDSS J160242.13-005439.2","","ALeRCE","ZTF","","ALeRCE","ZTF24abylevb","P48 - ZTF-Cam","","1","1","","18.2876","r-ZTF","2024-12-20 13:43:20.004","ALeRCE","","","",""
"168704","AT 2024aenk","23:04:24.399","+34:12:34.48","","","SDSS J230424.37+341234.0","","ALeRCE","ZTF","","ALeRCE","ZTF24abymwoh","P48 - ZTF-Cam","","1","1","","20.9618","g-ZTF","2024-12-21 02:15:09.996","ALeRCE","","","",""
"168703","AT 2024aenj","01:32:44.680","+25:50:04.15","","","SDSS J013244.74+255004.4","","ALeRCE","ZTF","","ALeRCE","ZTF24abynapy","P48 - ZTF-Cam","","1","1","","20.3745","r-ZTF","2024-12-21 03:04:08.996","ALeRCE","","","",""
"168701","AT 2024aenh","01:34:13.417","-28:15:47.86","","","","","ALeRCE","ZTF","","ALeRCE","ZTF24abynyet","P48 - ZTF-Cam","","1","1","","19.6777","g-ZTF","2024-12-21 04:02:31.004","ALeRCE","","","",""
"168700","AT 2024aeng","01:25:20.451","+00:35:39.97","","","SDSS J012520.44+003541.2","","ALeRCE","ZTF","","ALeRCE","ZTF24abyofbb","P48 - ZTF-Cam","","1","1","","19.3412","g-ZTF","2024-12-21 04:39:24.002","ALeRCE","","","",""
"168699","AT 2024aenf","03:16:28.537","+77:12:01.53","","","SDSS J031628.03+771159.9","","ALeRCE","ZTF","","ALeRCE","ZTF24abyrxua","P48 - ZTF-Cam","","1","1","","20.0573","r-ZTF","2024-12-21 08:38:49.004","ALeRCE","","","",""
