"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"170559","AT 2025ll","07:07:47.660","-67:22:05.20","","","","","MASTER","MASTER","","MASTER","MASTER OT J070747.66-672205.2","Other - Other","","1","1","","17.8","Other-","2025-01-12 06:10:06.528","MASTER","","","","","",""
"170558","AT 2025lk","14:08:13.761","-10:16:34.43","","","","","ZTF","ZTF","","ZTF","ZTF25aaazvar","P48 - ZTF-Cam","","1","1","","19.8632","g-ZTF","2025-01-06 13:35:37.996","Fritz","","","","","",""
"170556","AT 2025lj","15:54:12.590","-67:05:33.60","","","","","MASTER","MASTER","","MASTER","MASTER OT J155412.59-670533.6","Other - Other","","1","1","","15.9","Other-","2025-01-12 06:22:12.288","MASTER","","","","","",""
"170555","AT 2025li","12:45:55.093","+17:29:35.35","","","","","ZTF","ZTF","","ZTF","ZTF25aabegog","P48 - ZTF-Cam","","1","1","","20.319","g-ZTF","2025-01-07 10:06:57.997","Fritz","","","","","",""
"170554","AT 2025lh","09:22:15.949","-12:08:43.09","","","","","ZTF","ZTF","","ZTF","ZTF25aabuadl","P48 - ZTF-Cam","","1","1","","19.6357","r-ZTF","2025-01-09 09:04:31.002","Fritz","","","","","",""
"170553","AT 2025lg","01:34:31.044","-00:27:40.13","","","","","ZTF","ZTF","","ZTF","ZTF25aabrmpn","P48 - ZTF-Cam","","1","1","","19.2036","r-ZTF","2025-01-09 04:41:01.003","Fritz","","","","","",""
"170552","AT 2025lf","00:30:37.737","+00:05:33.28","","","","","ZTF","ZTF","","ZTF","ZTF25aabtbzk","P48 - ZTF-Cam","","1","1","","19.0753","g-ZTF","2025-01-09 02:38:41.997","Fritz","","","","","",""
"170551","AT 2025le","00:31:42.336","+06:53:52.45","","","","","ZTF","ZTF","","ZTF","ZTF25aaboqyd","P48 - ZTF-Cam","","1","1","","19.2373","r-ZTF","2025-01-11 02:35:48.998","Fritz","","","","","",""
"170550","AT 2025ld","21:53:54.029","+37:00:32.29","","","","","ZTF","ZTF","","ZTF","ZTF25aabknlu","P48 - ZTF-Cam","","1","1","","15.6714","g-ZTF","2025-01-09 02:49:17.002","Fritz","","","","","",""
"170548","AT 2025lc","20:28:21.450","+51:39:34.38","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia25add","Gaia - Gaia-photometric","","1","1","","14.48","G-Gaia","2025-01-10 13:16:19.200","Gaia_Bot1","","","2025TNSTR.163....1H","","",""
"170547","AT 2025lb","21:31:13.420","+25:56:10.25","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia25adc","Gaia - Gaia-photometric","","1","1","","15.13","G-Gaia","2025-01-11 00:46:04.800","Gaia_Bot1","","","2025TNSTR.163....1H","","",""
"170545","AT 2025la","21:23:47.460","+28:42:16.45","","","","","GaiaAlerts, ATLAS","GaiaAlerts, ATLAS","","ATLAS, GaiaAlerts","Gaia25acy","ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric","","1","1","","16.29","G-Gaia","2025-01-11 02:36:57.600","Gaia_Bot1","","","2025TNSTR.163....1H","","",""
"170544","AT 2025kz","04:57:35.690","-67:36:29.20","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia25acx","Gaia - Gaia-photometric","","1","1","","17.11","G-Gaia","2025-01-11 04:49:26.400","Gaia_Bot1","","","2025TNSTR.163....1H","","",""
"170543","AT 2025ky","10:02:49.869","-05:51:12.65","","","","","ZTF, ATLAS","ZTF, ATLAS","","ATLAS, ZTF","ZTF22ablqzpz","ATLAS-HKO - ATLAS-02, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam","","1","1","","19.7044","g-ZTF","2025-01-06 09:15:00.996","Fritz","","","2025TNSTR.167....1W","","",""
"170542","AT 2025kx","02:50:36.157","+07:27:59.53","","","","","ZTF","ZTF","","ZTF","ZTF25aabotnk","P48 - ZTF-Cam","","1","1","","18.6867","g-ZTF","2025-01-12 03:34:02.997","Fritz","","","2025TNSTR.167....1W","","",""
"170541","AT 2025kw","17:24:10.526","+82:15:44.59","","","","","ALeRCE","ZTF","","ZTF","","Other - Other, P48 - ZTF-Cam","","1","1","","17.9","Clear-","2025-01-12 14:21:01.078","Ziyang Mai","","","2025TNSTR.166....1M","","",""
"170539","AT 2025kv","05:03:31.670","-70:24:10.69","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia25acv","Gaia - Gaia-photometric","","1","1","","17.68","G-Gaia","2025-01-10 10:48:00.000","Gaia_Bot1","","","2025TNSTR.163....1H","","",""
"170538","AT 2025ku","21:44:32.260","+20:11:38.83","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia25acq","Gaia - Gaia-photometric","","1","1","","18.92","G-Gaia","2025-01-10 12:38:52.800","Gaia_Bot1","","","2025TNSTR.163....1H","","",""
"170537","AT 2025kt","16:44:20.949","+77:50:29.33","","","","","GOTO, ZTF","GOTO, ZTF","","GOTO, ZTF","GOTO25gd","GOTO-N - GOTO-1, GOTO-N - GOTO-2, P48 - ZTF-Cam","","1","1","","18.4","L-GOTO","2025-01-12 06:28:55.776","GOTO_bot","","","2025TNSTR.164....1K","","",""
"170536","AT 2025ks","14:11:51.493","+05:27:18.04","","","","","ZTF","ZTF","","ZTF","ZTF25aabreco","P48 - ZTF-Cam","","1","1","","19.5678","g-ZTF","2025-01-04 13:07:35.996","Fritz","","","2025TNSTR.168....1S","","",""
"170535","AT 2025kr","11:10:52.454","+05:05:29.15","","","","","GOTO, ZTF","GOTO, ZTF","","GOTO, ZTF","GOTO25gg","GOTO-N - GOTO-2, P48 - ZTF-Cam","","1","1","","19.09","L-GOTO","2025-01-08 02:20:43.872","GOTO_bot","","","2025TNSTR.165....1O","","",""
"170534","AT 2025kq","17:29:06.782","+74:15:18.43","","","","","GOTO","GOTO","","GOTO","GOTO25gc","GOTO-N - GOTO-1, GOTO-N - GOTO-2","","1","1","","18.11","L-GOTO","2025-01-12 06:28:55.776","GOTO_bot","","","2025TNSTR.164....1K","","",""
"170533","AT 2025kp","00:42:48.207","+23:37:42.76","","","","","ZTF","ZTF","","ZTF","ZTF25aaatsux","P48 - ZTF-Cam","","1","1","","20.4203","g-ZTF","2025-01-04 02:52:33.000","Fritz","","","2025TNSTR.168....1S","","",""
"170532","AT 2025ko","11:41:59.248","-08:47:07.54","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25aka","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","18.791","cyan-ATLAS","2025-01-10 01:28:31.008","ATLAS_Bot1","","","2025TNSTR.150....1T","","",""
"170531","AT 2025kn","10:19:12.537","+38:22:34.83","","","","","YSE","Pan-STARRS","","Pan-STARRS","PS25cb","PS2 - GPC2","","1","1","","21.03","g-P1","2025-01-07 12:49:58.080","YSE_Bot1","","","2025TNSTR.154....1J","","",""
"170530","AT 2025km","01:46:46.312","+17:24:01.23","","","SDSS J014646.29+172406.3","","ALeRCE","ZTF","","ZTF","ZTF25aaboumb","P48 - ZTF-Cam","","1","1","","19.1578","g-ZTF","2025-01-11 03:09:21.997","ALeRCE","","","2025TNSTR.149....1M","","",""
"170529","AT 2025kl","01:11:52.757","+20:23:57.13","","","SDSS J011152.60+202358.9","","ALeRCE","ZTF","","ZTF","ZTF25aabowed","P48 - ZTF-Cam","","1","1","","18.1134","g-ZTF","2025-01-11 03:41:25.996","ALeRCE","","","2025TNSTR.149....1M","","",""
"170528","AT 2025kk","07:58:41.353","+02:00:10.09","","","WISEA J075841.30+020009.8","","ALeRCE","ZTF","","ZTF","ZTF25aabqdqc","P48 - ZTF-Cam","","1","1","","19.4461","r-ZTF","2025-01-11 08:35:36.004","ALeRCE","","","2025TNSTR.149....1M","","",""
"170527","AT 2025kj","14:10:39.017","-05:53:34.93","","","LCRS B140801.7-053930","","ALeRCE","ZTF","","ZTF","ZTF25aabreke","P48 - ZTF-Cam","","1","1","","18.5206","r-ZTF","2025-01-11 10:38:41.001","ALeRCE","","","2025TNSTR.149....1M","","",""
"170526","AT 2025ki","00:42:45.380","+41:16:35.20","","","M31","-0.001","XOSS","XOSS","","XOSS","PSP25A","Other - Other","","1","1","","17.34","Clear-","2025-01-11 12:18:50.976","Mi Zhang","","","2025TNSTR.153....1M","","",""
"170525","AT 2025kh","11:22:08.440","+80:13:48.08","","","","","ZTF","ZTF","","ZTF","ZTF25aabqiec","P48 - ZTF-Cam","","1","1","","20.2293","r-ZTF","2025-01-04 08:00:34.997","Fritz","","","2025TNSTR.155....1S","","",""
"170524","AT 2025kg","03:42:28.375","-22:30:21.13","","","","","","","","","","LT - IO-O","","1","1","","20.79","g-Sloan","2025-01-09 19:59:08.000","Rob Eyles-Ferris","","","2025TNSTR.151....1E","","",""
"170523","AT 2025kf","00:25:41.594","-37:53:28.03","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25ajy","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","17.995","orange-ATLAS","2025-01-08 19:09:39.168","ATLAS_Bot1","","","2025TNSTR.150....1T","","",""
